1.社会保障全般の見直しに懸念を示す
・低年金の放置が生活保護に直結し、国が安易に財政負担を軽減しようとする流れを批判。

2.無駄な医療費削減の重要性を訴える
・医療の質を保ちながらの効率化が必要であり、無駄な経費を削減することが焦点であると指摘。

3.財源確保に向けた改革に賛同
・増税を含む多様な財源確保策を議論すべきだと主張。

4.介護保険制度の安定性を強調
・介護保険制度の根幹が崩れることへの懸念を示し、給付の維持が社会保障全体の重要課題であることを指摘。

5.高齢者医療・介護サービス拡充に関する意見
・高齢者への負担を軽減するための給付強化や、現行のサービスを維持する必要性を訴える。

6.消費税増税と社会保障の充実の不整合を指摘
・消費税増税があっても社会保障が充実しないと国民が納得しないとの立場を示す。

7.介護現場の声を重視
・介護職員や利用者の声が反映されるべきであり、制度改革には当事者の参加が不可欠だと主張。

8.逆社会保障の懸念を表明
・特定の政策が低所得者に不利になっていることに対して危機感を持ち、逆社会保障にならないよう注意を促す。----------1. 社会保障全般の見直しに賛成
   - 保障制度の抜本的改革の必要性を認識し、特に医療や介護の質の維持と無駄な医療費削減の両立を強調。

2. 医療保険・介護保険の負担増には慎重
   - 現役世代の保険料負担が限界に来ていることを指摘し、自己負担の増加や介護サービスのカットに反対する姿勢を表明。

3. 幅広い財源確保の議論を提案
   - 社会保障の充実を図るために、税収増や国債発行を含む多様な財源の模索が必要であると主張。

4. 年金制度の持続可能性に警鐘
   - 年金保険料の流用や制度改革が将来の年金受給に影響を与えるとの懸念を示し、透明な年金制度の確立を求める。

5. 介護保険制度の維持と充実を重視
   - 介護保険の理念に基づいた充実したサービス確保が必要であり、サービスカットや自己負担増に対して強い反発を示す。

6. 高齢者と障害者の支援に対する配慮
   - 高齢者福祉だけでなく、障害者福祉の向上を図る視点も重視し、全世代型社会保障の必要性を訴える。

7. 財政改革と社会保障のバランスを呼びかけ
   - 短期的な財源確保のために社会保障を削減するのではなく、持続可能な制度設計を通じて調和を図るべきと強調。----------1. 社会保障全般の見直しに反対
   - 年金や介護の自己負担を引き上げる政策に懸念を示し、特に低所得者層への影響を重視している。
  
2. 医療・介護サービスの提供を重視
   - 利用者の権利が守られるべきであり、介護サービスの質を確保する必要があると主張。また、要支援者に対するサービスが削減されることには反対。

3. 社会保障の財源確保に増税の選択肢を示唆
   - 経済的負担が現役世代にかかることを踏まえ、社会保障の持続可能性のために税収の見直しや増税が必要だと指摘。

4. 介護保険制度の理念を尊重
   - 介護保険制度の本来の目的である「社会全体で支える」理念を実現するために、制度改革が必要だと強調する。

5. 政府の社会保障政策に対する厳しい目
   - 政府が社会保障を予算の聖域とせず、削減を進める政策に対して強い反対を表明し、国民に対する説明責任を求めている。 

6. 高齢者への配慮を強調
   - 高齢者や障がい者に対するサービスの充実を訴え、彼らの生活を支える重要性を強調している。
